05/13 13:35:34 [DEBUG] [31364] [COMPS.Data.SerializableEntity] OutputFileMetadata --> {'Id': '_internal_id', 'Length': 'length', 'FriendlyName': 'friendly_name', 'PathFromRoot': 'path_from_root', 'Url': 'url', 'MimeType': 'mime_type'}
05/13 13:35:34 [DEBUG] [31364] [COMPS.Data.SerializableEntity] AssetFile --> {'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
05/13 13:35:34 [DEBUG] [31364] [COMPS.Data.SerializableEntity] AssetCollectionFile --> {'RelativePath': 'relative_path', 'Tags': 'tags', 'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
05/13 13:35:34 [DEBUG] [31364] [COMPS.Data.SerializableEntity] AssetCollection --> {'Id': 'id', 'DateCreated': 'date_created', 'Tags': 'tags', 'Assets': 'assets'}
05/13 13:35:34 [DEBUG] [31364] [COMPS.Data.SerializableEntity] Configuration --> {'EnvironmentName': 'environment_name', 'SimulationInputArgs': 'simulation_input_args', 'WorkingDirectoryRoot': 'working_directory_root', 'ExecutablePath': 'executable_path', 'NodeGroupName': 'node_group_name', 'MaximumNumberOfRetries': 'maximum_number_of_retries', 'Priority': 'priority', 'MinCores': 'min_cores', 'MaxCores': 'max_cores', 'Exclusive': 'exclusive', 'AssetCollectionId': 'asset_collection_id'}
05/13 13:35:34 [DEBUG] [31364] [COMPS.Data.SerializableEntity] SimulationFile --> {'FileType': 'file_type', 'Description': 'description', 'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
05/13 13:35:34 [DEBUG] [31364] [COMPS.Data.SerializableEntity] WorkItemFile --> {'FileType': 'file_type', 'Description': 'description', 'FileName': 'file_name', 'MD5Checksum': 'md5_checksum', 'Length': 'length', 'Uri': 'uri'}
05/13 13:35:34 [DEBUG] [31364] [COMPS.Data.SerializableEntity] HpcJob --> {'Id': '_internal_id', 'JobId': 'job_id', 'JobState': 'job_state', 'Priority': 'priority', 'WorkingDirectory': 'working_directory', 'OutputDirectorySize': 'output_directory_size', 'SubmitTime': 'submit_time', 'StartTime': 'start_time', 'EndTime': 'end_time', 'ErrorMessage': 'error_message', 'Configuration': 'configuration'}
05/13 13:35:34 [DEBUG] [31364] [COMPS.Data.SerializableEntity] Simulation --> {'Id': 'id', 'ExperimentId': 'experiment_id', 'Name': 'name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'SimulationState': 'state', 'ErrorMessage': 'error_message', 'Tags': 'tags', 'Configuration': 'configuration', 'Files': 'files', 'HPCJobs': 'hpc_jobs'}
05/13 13:35:34 [DEBUG] [31364] [COMPS.Data.SerializableEntity] Experiment --> {'Id': 'id', 'SuiteId': 'suite_id', 'Name': 'name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'Tags': 'tags', 'Configuration': 'configuration'}
05/13 13:35:34 [DEBUG] [31364] [COMPS.Data.SerializableEntity] Suite --> {'Id': 'id', 'Name': 'name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'Tags': 'tags', 'Configuration': 'configuration'}
05/13 13:35:34 [DEBUG] [31364] [COMPS.Data.SerializableEntity] WorkItem --> {'Id': 'id', 'Name': 'name', 'Worker': 'worker', 'EnvironmentName': 'environment_name', 'Description': 'description', 'Owner': 'owner', 'DateCreated': 'date_created', 'LastModified': 'last_modified', 'State': 'state', 'ErrorMessage': 'error_message', 'HostName': 'host_name', 'WorkerInstanceId': 'worker_instance_id', 'WorkItemPriority': 'priority', 'WorkingDirectory': 'working_directory', 'WorkingDirectorySize': 'working_directory_size', 'AssetCollectionId': 'asset_collection_id', 'Tags': 'tags', 'Files': 'files', 'Plugins': 'plugins'}
05/13 13:35:35 [DEBUG] [31348] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
05/13 13:35:36 [DEBUG] [31348] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations/a104238e-4095-ea11-a2c5-c4346bcb1550 {'count': 100000}
05/13 13:35:37 [DEBUG] [31348] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Experiments/60048c83-4095-ea11-a2c5-c4346bcb1550 {'children': 'Tags'}
05/13 13:35:37 [DEBUG] [31348] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'filters': 'ExperimentId=60048c83-4095-ea11-a2c5-c4346bcb1550', 'count': 100000}
05/13 13:35:38 [DEBUG] [31348] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/Simulations/a104238e-4095-ea11-a2c5-c4346bcb1550/Output {'flatten': 1}
05/13 13:35:38 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [output/InsetChart.json -> InsetChart.json] to map
05/13 13:35:38 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [output/MalariaSummaryReport_Annual_Report.json -> MalariaSummaryReport_Annual_Report.json] to map
05/13 13:35:38 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [campaign.json -> campaign.json] to map
05/13 13:35:38 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [config.json -> config.json] to map
05/13 13:35:38 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [StdErr.txt -> StdErr.txt] to map
05/13 13:35:38 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [emodules_map.json -> emodules_map.json] to map
05/13 13:35:38 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [StdOut.txt -> StdOut.txt] to map
05/13 13:35:38 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [custom_reports.json -> custom_reports.json] to map
05/13 13:35:38 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [status.txt -> status.txt] to map
05/13 13:35:38 [DEBUG] [31348] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/download/7EbXOnp3BAbtBxjk2cpwwmuVBdvRm7vplkKMlkfTP-A_/UmVzZXJ2ZWRGb3JGdXR1cmVVc2U_/XFxpbnRlcm5hbC5pZG0uY3RyXElETVxIb21lXGpvcnVzc2VsbFxvdXRwdXRcUGZQUl9ieV9FSVJfc3dlZXBfQ29UcmFuc21pc3Npb25fZl8yMDIwMDUxM18xNzM2NThcN2U2XDIxYlw5NDRcN2U2MjFiOTQtNDA5NS1lYTExLWEyYzUtYzQzNDZiY2IxNTUwXG91dHB1dFxJbnNldENoYXJ0Lmpzb24_/InsetChart.json
05/13 13:35:39 [DEBUG] [31348] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/asset/Simulations/a304238e-4095-ea11-a2c5-c4346bcb1550/Output {'flatten': 1}
05/13 13:35:39 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [output/InsetChart.json -> InsetChart.json] to map
05/13 13:35:39 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [output/MalariaSummaryReport_Annual_Report.json -> MalariaSummaryReport_Annual_Report.json] to map
05/13 13:35:39 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [campaign.json -> campaign.json] to map
05/13 13:35:39 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [config.json -> config.json] to map
05/13 13:35:39 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [StdErr.txt -> StdErr.txt] to map
05/13 13:35:39 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [emodules_map.json -> emodules_map.json] to map
05/13 13:35:39 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [StdOut.txt -> StdOut.txt] to map
05/13 13:35:39 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [custom_reports.json -> custom_reports.json] to map
05/13 13:35:39 [DEBUG] [31348] [COMPS.Data.AssetManager] adding [status.txt -> status.txt] to map
